order_id,supplier_id,total_emissions,budget,violation_type,compliance
O00001,S034,103.32000000000001,300,PROCESS_VIOLATION,PASS
O00002,S013,117.42,300,COMPLIANT,PASS
O00003,S022,147.29,250,COMPLIANT,PASS
O00004,S008,58.71,250,COMPLIANT,PASS
O00005,S017,241.01999999999998,300,COMPLIANT,PASS
O00006,S024,321.78,150,COMPLIANT,FAIL
O00007,S021,190.3,300,DATA_QUALITY_ISSUE,PASS
O00008,S018,132.87,150,COMPLIANT,PASS
O00009,S026,269.88,250,DATA_QUALITY_ISSUE,FAIL
O00010,S034,145.32,300,COMPLIANT,PASS
O00011,S009,261.22999999999996,150,COMPLIANT,FAIL
O00012,S011,119.48,250,COMPLIANT,PASS
O00013,S015,156.56,250,COMPLIANT,PASS
O00014,S016,155.7,300,COMPLIANT,PASS
O00015,S037,223.17000000000002,250,COMPLIANT,PASS
O00016,S025,201.69,250,PROCESS_VIOLATION,PASS
O00017,S026,160.68,250,DATA_QUALITY_ISSUE,PASS
O00018,S032,152.24,300,COMPLIANT,PASS
O00019,S023,193.76000000000002,150,COMPLIANT,FAIL
O00020,S033,242.2,300,COMPLIANT,PASS
O00021,S033,242.2,250,DATA_QUALITY_ISSUE,PASS
O00022,S006,628.34,300,COMPLIANT,FAIL
O00023,S048,766.01,250,COMPLIANT,FAIL
O00024,S004,215.73,250,PROCESS_VIOLATION,PASS
O00025,S029,179.49,250,PROCESS_VIOLATION,PASS
O00026,S003,223.17000000000002,300,COMPLIANT,PASS
O00027,S032,152.24,250,COMPLIANT,PASS
O00028,S027,78.85,300,PROCESS_VIOLATION,PASS
O00029,S011,200.67999999999998,250,COMPLIANT,PASS
O00030,S015,536.5600000000001,150,CARBON_VIOLATION,FAIL
O00031,S047,295.83,300,COMPLIANT,PASS
O00032,S021,113.3,300,COMPLIANT,PASS
O00033,S027,78.85,250,PROCESS_VIOLATION,PASS
O00034,S012,60.769999999999996,250,COMPLIANT,PASS
O00035,S036,762.48,150,COMPLIANT,FAIL
O00036,S043,73.13,300,COMPLIANT,PASS
O00037,S038,89.96,250,COMPLIANT,PASS
O00038,S045,211.15,150,COMPLIANT,FAIL
O00039,S045,723.65,150,COMPLIANT,FAIL
O00040,S028,118.08,250,PROCESS_VIOLATION,PASS
O00041,S045,354.65,150,COMPLIANT,FAIL
O00042,S048,375.40999999999997,300,COMPLIANT,FAIL
O00043,S012,60.769999999999996,300,COMPLIANT,PASS
O00044,S017,241.01999999999998,150,COMPLIANT,FAIL
O00045,S008,58.71,300,COMPLIANT,PASS
O00046,S016,92.7,250,COMPLIANT,PASS
O00047,S026,301.08,150,PROCESS_VIOLATION,FAIL
O00048,S042,245.66000000000003,150,COMPLIANT,FAIL
O00049,S034,86.52,250,COMPLIANT,PASS
O00050,S031,75.19,300,COMPLIANT,PASS
O00051,S050,112.27,250,COMPLIANT,PASS
O00052,S001,155.7,250,COMPLIANT,PASS
O00053,S001,317.7,150,DATA_QUALITY_ISSUE,FAIL
O00054,S043,250.63,150,CARBON_VIOLATION,FAIL
O00055,S039,115.91000000000001,150,COMPLIANT,PASS
O00056,S040,61.8,250,COMPLIANT,PASS
O00057,S028,358.08,300,PROCESS_VIOLATION,FAIL
O00058,S012,72.57,250,PROCESS_VIOLATION,PASS
O00059,S017,826.02,300,CARBON_VIOLATION,FAIL
O00060,S019,107.26000000000002,250,DATA_QUALITY_ISSUE,PASS
O00061,S041,174.73,250,COMPLIANT,PASS
O00062,S017,826.02,250,COMPLIANT,FAIL
O00063,S050,112.27,250,COMPLIANT,PASS
O00064,S037,223.17000000000002,300,COMPLIANT,PASS
O00065,S023,115.36,250,COMPLIANT,PASS
O00066,S013,197.22000000000003,300,COMPLIANT,PASS
O00067,S045,723.65,250,COMPLIANT,FAIL
O00068,S043,73.13,300,COMPLIANT,PASS
O00069,S027,164.35,150,COMPLIANT,FAIL
O00070,S038,53.56,300,DATA_QUALITY_ISSUE,PASS
O00071,S030,358.08,300,PROCESS_VIOLATION,FAIL
O00072,S026,269.88,300,COMPLIANT,PASS
O00073,S026,160.68,250,COMPLIANT,PASS
O00074,S010,174.73,300,COMPLIANT,PASS
O00075,S019,107.26000000000002,300,COMPLIANT,PASS
O00076,S035,114.18,300,COMPLIANT,PASS
O00077,S019,107.26000000000002,150,COMPLIANT,PASS
O00078,S027,97.85,250,COMPLIANT,PASS
O00079,S002,129.78,300,COMPLIANT,PASS
O00080,S049,103.0,250,COMPLIANT,PASS
O00081,S009,261.22999999999996,250,COMPLIANT,FAIL
O00082,S005,656.58,300,CARBON_VIOLATION,FAIL
O00083,S042,146.26,250,COMPLIANT,PASS
O00084,S014,776.6,300,COMPLIANT,FAIL
