order_id,supplier_id,total_emissions,budget,violation_type,compliance
O00006,S024,321.78,150,COMPLIANT,FAIL
O00009,S026,269.88,250,DATA_QUALITY_ISSUE,FAIL
O00011,S009,261.23,150,COMPLIANT,FAIL
O00019,S023,193.76,150,COMPLIANT,FAIL
O00022,S006,628.34,300,COMPLIANT,FAIL
O00023,S048,766.01,250,COMPLIANT,FAIL
O00030,S015,536.5600000000001,150,CARBON_VIOLATION,FAIL
O00035,S036,762.48,150,COMPLIANT,FAIL
O00038,S045,211.15,150,COMPLIANT,FAIL
O00039,S045,723.65,150,COMPLIANT,FAIL
O00041,S045,354.65,150,COMPLIANT,FAIL
O00042,S048,375.41,300,COMPLIANT,FAIL
O00044,S017,241.02,150,COMPLIANT,FAIL
O00047,S026,301.08,150,PROCESS_VIOLATION,FAIL
O00048,S042,245.66000000000005,150,COMPLIANT,FAIL
O00053,S001,317.7,150,DATA_QUALITY_ISSUE,FAIL
O00054,S043,250.63,150,CARBON_VIOLATION,FAIL
O00057,S028,358.08,300,PROCESS_VIOLATION,FAIL
O00059,S017,826.02,300,CARBON_VIOLATION,FAIL
O00062,S017,826.02,250,COMPLIANT,FAIL
O00067,S045,723.65,250,COMPLIANT,FAIL
O00069,S027,164.35,150,COMPLIANT,FAIL
O00071,S030,358.08,300,PROCESS_VIOLATION,FAIL
O00081,S009,261.23,250,COMPLIANT,FAIL
O00082,S005,656.58,300,CARBON_VIOLATION,FAIL
O00084,S014,776.6,300,COMPLIANT,FAIL
O00085,S023,193.76,150,DATA_QUALITY_ISSUE,FAIL
O00086,S037,455.37,300,COMPLIANT,FAIL
O00091,S005,191.58,150,COMPLIANT,FAIL
O00092,S009,155.53,150,COMPLIANT,FAIL
O00103,S005,321.78,300,COMPLIANT,FAIL
O00107,S014,776.6,250,COMPLIANT,FAIL
O00110,S017,779.22,150,PROCESS_VIOLATION,FAIL
O00111,S026,160.68,150,COMPLIANT,FAIL
O00117,S026,269.88,250,COMPLIANT,FAIL
O00118,S045,723.65,300,DATA_QUALITY_ISSUE,FAIL
O00122,S014,380.6,150,COMPLIANT,FAIL
O00123,S009,533.03,300,CARBON_VIOLATION,FAIL
O00124,S050,384.77,250,COMPLIANT,FAIL
O00126,S005,321.78,300,COMPLIANT,FAIL
O00128,S006,307.94,150,COMPLIANT,FAIL
O00132,S050,166.77,150,PROCESS_VIOLATION,FAIL
O00134,S009,533.03,250,CARBON_VIOLATION,FAIL
O00138,S005,693.78,300,PROCESS_VIOLATION,FAIL
O00139,S036,373.68,150,COMPLIANT,FAIL
O00140,S010,174.73,150,COMPLIANT,FAIL
O00141,S045,354.65,150,COMPLIANT,FAIL
O00143,S014,776.6,250,COMPLIANT,FAIL
O00146,S004,243.93,150,COMPLIANT,FAIL
O00147,S003,223.17,150,COMPLIANT,FAIL
O00153,S029,160.89,150,COMPLIANT,FAIL
O00158,S018,223.17,150,DATA_QUALITY_ISSUE,FAIL
O00162,S010,356.53,150,CARBON_VIOLATION,FAIL
O00163,S005,656.58,300,COMPLIANT,FAIL
O00164,S023,193.76,150,COMPLIANT,FAIL
O00165,S007,179.92,150,COMPLIANT,FAIL
O00166,S009,533.03,300,CARBON_VIOLATION,FAIL
O00171,S024,693.78,150,PROCESS_VIOLATION,FAIL
O00176,S032,310.64000000000004,150,CARBON_VIOLATION,FAIL
O00179,S048,766.01,150,COMPLIANT,FAIL
O00183,S037,455.37,250,CARBON_VIOLATION,FAIL
O00184,S015,156.56,150,COMPLIANT,FAIL
O00186,S025,420.39,250,COMPLIANT,FAIL
O00189,S011,177.48,150,PROCESS_VIOLATION,FAIL
O00191,S044,332.16,150,COMPLIANT,FAIL
O00192,S005,321.78,150,COMPLIANT,FAIL
O00194,S024,656.58,300,COMPLIANT,FAIL
O00200,S009,261.23,250,COMPLIANT,FAIL
O00205,S016,317.7,150,CARBON_VIOLATION,FAIL
O00206,S036,805.68,300,PROCESS_VIOLATION,FAIL
O00207,S006,628.34,150,COMPLIANT,FAIL
O00219,S045,354.65,250,COMPLIANT,FAIL
O00226,S021,190.3,150,COMPLIANT,FAIL
O00229,S033,494.2,150,CARBON_VIOLATION,FAIL
O00230,S026,550.6800000000001,150,DATA_QUALITY_ISSUE,FAIL
O00237,S042,529.66,250,PROCESS_VIOLATION,FAIL
O00241,S006,307.94,300,COMPLIANT,FAIL
O00243,S044,677.76,300,COMPLIANT,FAIL
O00244,S025,857.7900000000001,150,COMPLIANT,FAIL
O00249,S011,409.48,250,COMPLIANT,FAIL
O00250,S037,223.17,150,COMPLIANT,FAIL
O00251,S045,211.15,150,COMPLIANT,FAIL
O00260,S025,420.39,250,COMPLIANT,FAIL
O00267,S006,592.74,150,PROCESS_VIOLATION,FAIL
O00270,S007,367.12,300,CARBON_VIOLATION,FAIL
O00272,S024,656.58,300,COMPLIANT,FAIL
O00273,S023,395.36,250,CARBON_VIOLATION,FAIL
O00275,S045,211.15,150,COMPLIANT,FAIL
O00277,S028,166.08,150,COMPLIANT,FAIL
O00280,S029,179.49,150,PROCESS_VIOLATION,FAIL
O00281,S048,766.01,250,COMPLIANT,FAIL
O00284,S041,336.33,300,PROCESS_VIOLATION,FAIL
O00288,S040,211.8,150,CARBON_VIOLATION,FAIL
O00295,S022,247.39,150,COMPLIANT,FAIL
O00299,S045,395.65,250,PROCESS_VIOLATION,FAIL
O00302,S016,155.7,150,COMPLIANT,FAIL
O00303,S045,764.65,150,PROCESS_VIOLATION,FAIL
O00306,S017,826.02,250,COMPLIANT,FAIL
O00310,S030,338.88,300,COMPLIANT,FAIL
O00312,S036,222.48,150,COMPLIANT,FAIL
O00313,S006,628.34,250,COMPLIANT,FAIL
O00314,S042,501.26,250,COMPLIANT,FAIL
O00315,S003,455.37,300,COMPLIANT,FAIL
O00316,S025,857.7900000000001,150,COMPLIANT,FAIL
O00319,S005,656.58,250,CARBON_VIOLATION,FAIL
O00320,S014,776.6,250,COMPLIANT,FAIL
O00328,S002,444.78,300,CARBON_VIOLATION,FAIL
O00329,S011,177.48,150,PROCESS_VIOLATION,FAIL
O00334,S044,677.76,300,COMPLIANT,FAIL
O00338,S014,776.6,150,COMPLIANT,FAIL
O00343,S017,404.8200000000001,300,COMPLIANT,FAIL
O00345,S009,533.03,250,COMPLIANT,FAIL
O00346,S009,533.03,300,CARBON_VIOLATION,FAIL
O00351,S009,291.42999999999995,250,PROCESS_VIOLATION,FAIL
O00359,S024,191.58,150,COMPLIANT,FAIL
O00361,S016,155.7,150,COMPLIANT,FAIL
O00369,S045,723.65,250,COMPLIANT,FAIL
O00371,S021,388.3,250,CARBON_VIOLATION,FAIL
O00375,S047,603.63,300,COMPLIANT,FAIL
O00376,S044,332.16,300,DATA_QUALITY_ISSUE,FAIL
O00377,S048,766.01,150,COMPLIANT,FAIL
O00378,S049,173.0,150,COMPLIANT,FAIL
O00383,S001,155.7,150,COMPLIANT,FAIL
O00387,S003,455.37,300,COMPLIANT,FAIL
O00388,S014,380.6,300,COMPLIANT,FAIL
O00390,S039,236.51,150,CARBON_VIOLATION,FAIL
O00392,S023,193.76,150,COMPLIANT,FAIL
O00397,S042,501.26,250,COMPLIANT,FAIL
O00398,S008,201.21,150,CARBON_VIOLATION,FAIL
O00399,S049,173.0,150,COMPLIANT,FAIL
O00400,S015,262.96,150,COMPLIANT,FAIL
O00404,S009,261.23,150,COMPLIANT,FAIL
O00412,S017,358.02000000000004,300,PROCESS_VIOLATION,FAIL
O00414,S028,338.88,300,CARBON_VIOLATION,FAIL
O00416,S017,826.02,250,COMPLIANT,FAIL
O00417,S030,338.88,300,CARBON_VIOLATION,FAIL
O00425,S010,194.93,150,PROCESS_VIOLATION,FAIL
O00427,S001,317.7,250,CARBON_VIOLATION,FAIL
O00428,S030,166.08,150,COMPLIANT,FAIL
O00430,S036,762.48,250,CARBON_VIOLATION,FAIL
O00431,S007,179.92,150,COMPLIANT,FAIL
O00434,S027,164.35,150,COMPLIANT,FAIL
O00442,S037,455.37,250,CARBON_VIOLATION,FAIL
O00443,S050,188.57,150,COMPLIANT,FAIL
O00445,S030,338.88,150,COMPLIANT,FAIL
O00448,S023,395.36,250,CARBON_VIOLATION,FAIL
