order_id,supplier_id,product_id,warehouse_id,order_type
O00001,S034,P421,W13,Urgent
O00002,S013,P233,W07,Urgent
O00003,S022,P205,W17,International
O00004,S008,P399,W11,International
O00005,S017,P176,W16,Urgent
O00006,S024,P219,W08,Standard
O00007,S021,P292,W04,Urgent
O00008,S018,P419,W12,Standard
O00009,S026,P443,W20,International
O00010,S034,P110,W08,Urgent
O00011,S009,P096,W16,Standard
O00012,S011,P224,W20,International
O00013,S015,P308,W02,International
O00014,S016,P299,W06,Urgent
O00015,S037,P452,W14,International
O00016,S025,P241,W16,International
O00017,S026,P064,W11,International
O00018,S032,P085,W10,Urgent
O00019,S023,P470,W08,Standard
O00020,S033,P422,W08,Urgent
O00021,S033,P316,W15,International
O00022,S006,P012,W19,Urgent
O00023,S048,P195,W18,International
O00024,S004,P092,W19,International
O00025,S029,P398,W14,International
O00026,S003,P425,W18,Urgent
O00027,S032,P462,W09,International
O00028,S027,P096,W13,Urgent
O00029,S011,P358,W02,International
O00030,S015,P200,W10,Standard
O00031,S047,P116,W09,Urgent
O00032,S021,P341,W07,Urgent
O00033,S027,P138,W14,International
O00034,S012,P129,W09,International
O00035,S036,P298,W03,Standard
O00036,S043,P299,W08,Urgent
O00037,S038,P350,W02,International
O00038,S045,P374,W05,Standard
O00039,S045,P387,W09,Standard
O00040,S028,P093,W03,International
O00041,S045,P007,W17,Standard
O00042,S048,P224,W05,Urgent
O00043,S012,P226,W07,Urgent
O00044,S017,P233,W19,Standard
O00045,S008,P062,W06,Urgent
O00046,S016,P467,W10,International
O00047,S026,P470,W12,Standard
O00048,S042,P006,W12,Standard
O00049,S034,P208,W14,International
O00050,S031,P204,W02,Urgent
O00051,S050,P288,W04,International
O00052,S001,P233,W03,International
O00053,S001,P198,W02,Standard
O00054,S043,P464,W08,Standard
O00055,S039,P384,W15,Standard
O00056,S040,P287,W18,International
O00057,S028,P276,W14,Urgent
O00058,S012,P091,W10,International
O00059,S017,P269,W08,Urgent
O00060,S019,P428,W15,International
O00061,S041,P436,W20,International
O00062,S017,P302,W04,International
O00063,S050,P051,W12,International
O00064,S037,P164,W04,Urgent
O00065,S023,P254,W13,International
O00066,S013,P435,W12,Urgent
O00067,S045,P355,W08,International
O00068,S043,P430,W10,Urgent
O00069,S027,P070,W07,Standard
O00070,S038,P452,W07,Urgent
O00071,S030,P145,W15,Urgent
O00072,S026,P081,W09,Urgent
O00073,S026,P444,W15,International
O00074,S010,P213,W07,Urgent
O00075,S019,P405,W01,Urgent
O00076,S035,P392,W06,Urgent
O00077,S019,P204,W10,Standard
O00078,S027,P496,W08,International
O00079,S002,P157,W05,Urgent
O00080,S049,P169,W14,International
O00081,S009,P197,W18,International
O00082,S005,P203,W12,Urgent
O00083,S042,P458,W12,International
O00084,S014,P224,W11,Urgent
O00085,S023,P387,W11,Standard
O00086,S037,P177,W18,Urgent
O00087,S031,P417,W14,Urgent
O00088,S031,P328,W04,Urgent
O00089,S014,P328,W03,International
O00090,S002,P051,W05,Standard
O00091,S005,P276,W13,Standard
O00092,S009,P045,W04,Standard
O00093,S021,P081,W08,International
O00094,S001,P061,W16,International
O00095,S004,P013,W06,Standard
O00096,S028,P480,W19,International
O00097,S046,P494,W13,Standard
O00098,S014,P356,W13,International
O00099,S007,P142,W10,Standard
O00100,S011,P269,W06,Urgent
O00101,S031,P255,W02,Urgent
O00102,S019,P375,W10,Standard
O00103,S005,P295,W09,Urgent
O00104,S020,P076,W17,International
O00105,S041,P392,W04,International
O00106,S011,P043,W02,Standard
O00107,S014,P271,W03,International
O00108,S016,P065,W11,Urgent
O00109,S032,P323,W20,International
O00110,S017,P313,W16,Standard
O00111,S026,P280,W13,Standard
O00112,S016,P176,W12,International
O00113,S031,P337,W07,Urgent
O00114,S042,P220,W08,Urgent
O00115,S035,P155,W03,Urgent
O00116,S019,P212,W07,International
O00117,S026,P061,W02,International
O00118,S045,P483,W16,Urgent
O00119,S016,P190,W01,Standard
O00120,S029,P411,W18,Standard
O00121,S002,P279,W17,Standard
O00122,S014,P150,W18,Standard
O00123,S009,P170,W12,Urgent
O00124,S050,P323,W05,International
O00125,S035,P483,W09,International
O00126,S005,P249,W15,Urgent
O00127,S017,P158,W18,Urgent
O00128,S006,P055,W05,Standard
O00129,S008,P461,W08,Standard
O00130,S035,P424,W16,Standard
O00131,S023,P465,W02,International
O00132,S050,P207,W07,Standard
O00133,S004,P415,W05,International
O00134,S009,P297,W18,International
O00135,S020,P275,W07,Standard
O00136,S027,P463,W01,International
O00137,S024,P266,W20,International
O00138,S005,P347,W01,Urgent
O00139,S036,P174,W14,Standard
O00140,S010,P158,W11,Standard
O00141,S045,P328,W19,Standard
O00142,S001,P067,W09,International
O00143,S014,P261,W03,International
O00144,S020,P197,W17,International
O00145,S035,P309,W05,International
O00146,S004,P496,W18,Standard
O00147,S003,P299,W11,Standard
O00148,S018,P337,W06,Standard
O00149,S039,P341,W18,International
O00150,S013,P494,W12,Urgent
O00151,S043,P449,W10,Urgent
O00152,S046,P440,W16,International
O00153,S029,P326,W02,Standard
O00154,S017,P026,W01,International
O00155,S028,P473,W01,Urgent
O00156,S046,P462,W18,Urgent
O00157,S004,P079,W02,Standard
O00158,S018,P382,W15,Standard
